filename,area,perimeter,aspect_ratio,extent,circularity,label
01.jpg,993,602,0.61,0.02,0.03,bulat
02.jpg,1788,735,0.41,0.03,0.04,bulat
03.jpg,13306,2754,1.02,0.07,0.02,bulat
04.jpg,7,6,1.0,0.78,2.44,bulat
05.jpg,111496,4378,1.14,0.49,0.07,bulat
5.jpg,408,382,1.55,0.0,0.04,bulat
bulat2.jpg,30349,2772,1.89,0.23,0.05,bulat
01.jpg,150902,2444,1.38,0.8,0.32,persegi
03.jpg,137878,3853,1.18,0.64,0.12,persegi
04.jpg,79650,1356,1.96,0.6,0.54,persegi
06.jpg,109236,1704,0.55,0.81,0.47,persegi
07.jpg,63014,1318,1.57,0.47,0.46,persegi
persegi1.jpg,63387,14909,0.4,0.6,0.0,persegi
